BusinessActivityID,Description,Remarks,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,RiskRating,AutoTaggedAs
66,TEA,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
67,TELECOMMUNICATIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
68,TEXTILE,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
69,TOBACCO,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
70,TRANSPORTATION OPERATORS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
71,TRAVEL AND TOURISM,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
72,VEGETABLE OIL,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
73,WEB AND SOCIAL MEDIA,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
74,UNEMPLOYED,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
75,AIRLINE INDUSTRY,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,High,None
76,AUCTIONEER,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,High,None
77,BROKERAGE,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,High,None
